dish_id,variant_dish_name,regional_alias_name,english_translated_name,region,state,city_or_district,community_identity,gi_status,gi_tag_details,famousness_tier,dish_type,consumption_type,consumption_time,occasion_description,cooking_method,ingredients_used,dish_image_url,source_type,source_url
Z1-RJ-01,Jaipur Home Style Dal Baati Churma,Home Style Dal Baati Churma,Jaipur Home Style Dal Baati Churma,North,Rajasthan,Jaipur,Rajasthani,NA,NA,Global,Veg,everyday,lunch,,Roasted,"wheat flour, lentils, ghee, jaggery, spices",https://placehold.co/1200x800?text=Dal%20Baati%20Churma,Wikipedia,https://en.wikipedia.org/wiki/Dal_bati_churma
Z1-RJ-01,Jodhpur Street Style Dal Baati Churma,Street Style Dal Baati Churma,Jodhpur Street Style Dal Baati Churma,North,Rajasthan,Jodhpur,Rajasthani,NA,NA,Global,Veg,everyday,snack,,Roasted,"wheat flour, lentils, ghee, jaggery, spices",https://placehold.co/1200x800?text=Dal%20Baati%20Churma,Wikipedia,https://en.wikipedia.org/wiki/Dal_bati_churma
Z1-RJ-01,Udaipur Dhaba Style Dal Baati Churma,Dhaba Style Dal Baati Churma,Udaipur Dhaba Style Dal Baati Churma,North,Rajasthan,Udaipur,Rajasthani,NA,NA,Global,Veg,everyday,lunch,,Roasted,"wheat flour, lentils, ghee, jaggery, spices",https://placehold.co/1200x800?text=Dal%20Baati%20Churma,Wikipedia,https://en.wikipedia.org/wiki/Dal_bati_churma
Z1-RJ-01,Bikaner Tawa Style Dal Baati Churma,Tawa Style Dal Baati Churma,Bikaner Tawa Style Dal Baati Churma,North,Rajasthan,Bikaner,Rajasthani,NA,NA,Global,Veg,everyday,breakfast,,Roasted,"wheat flour, lentils, ghee, jaggery, spices",https://placehold.co/1200x800?text=Dal%20Baati%20Churma,Wikipedia,https://en.wikipedia.org/wiki/Dal_bati_churma
Z1-RJ-01,Jaipur Tandoor Style Dal Baati Churma,Tandoor Style Dal Baati Churma,Jaipur Tandoor Style Dal Baati Churma,North,Rajasthan,Jaipur,Rajasthani,NA,NA,Global,Veg,everyday,dinner,,Roasted,"wheat flour, lentils, ghee, jaggery, spices",https://placehold.co/1200x800?text=Dal%20Baati%20Churma,Wikipedia,https://en.wikipedia.org/wiki/Dal_bati_churma
Z1-RJ-01,Jodhpur Family Thali Dal Baati Churma,Family Thali Dal Baati Churma,Jodhpur Family Thali Dal Baati Churma,North,Rajasthan,Jodhpur,Rajasthani,NA,NA,Global,Veg,everyday,lunch,,Roasted,"wheat flour, lentils, ghee, jaggery, spices",https://placehold.co/1200x800?text=Dal%20Baati%20Churma,Wikipedia,https://en.wikipedia.org/wiki/Dal_bati_churma
Z1-RJ-01,Udaipur Weekend Special Dal Baati Churma,Weekend Special Dal Baati Churma,Udaipur Weekend Special Dal Baati Churma,North,Rajasthan,Udaipur,Rajasthani,NA,NA,Global,Veg,everyday,lunch,,Roasted,"wheat flour, lentils, ghee, jaggery, spices",https://placehold.co/1200x800?text=Dal%20Baati%20Churma,Wikipedia,https://en.wikipedia.org/wiki/Dal_bati_churma
Z1-RJ-01,Bikaner Village Plate Dal Baati Churma,Village Plate Dal Baati Churma,Bikaner Village Plate Dal Baati Churma,North,Rajasthan,Bikaner,Rajasthani,NA,NA,Global,Veg,everyday,dinner,,Roasted,"wheat flour, lentils, ghee, jaggery, spices",https://placehold.co/1200x800?text=Dal%20Baati%20Churma,Wikipedia,https://en.wikipedia.org/wiki/Dal_bati_churma
Z1-RJ-01,Jaipur Packed Lunch Dal Baati Churma,Packed Lunch Dal Baati Churma,Jaipur Packed Lunch Dal Baati Churma,North,Rajasthan,Jaipur,Rajasthani,NA,NA,Global,Veg,everyday,lunch,,Roasted,"wheat flour, lentils, ghee, jaggery, spices",https://placehold.co/1200x800?text=Dal%20Baati%20Churma,Wikipedia,https://en.wikipedia.org/wiki/Dal_bati_churma
Z1-RJ-01,Jodhpur Late-Night Stall Dal Baati Churma,Late-Night Stall Dal Baati Churma,Jodhpur Late-Night Stall Dal Baati Churma,North,Rajasthan,Jodhpur,Rajasthani,NA,NA,Global,Veg,everyday,snack,,Roasted,"wheat flour, lentils, ghee, jaggery, spices",https://placehold.co/1200x800?text=Dal%20Baati%20Churma,Wikipedia,https://en.wikipedia.org/wiki/Dal_bati_churma
